Gene Name,GenBank Gene ID,Drug ID
ftsI,L42023,DB00303
ftsI,L42023, DB00671
ftsI,L42023,DB00218
ftsI,L42023, DB00365
ftsI,L42023, DB00467
ftsI,L42023, DB00487
ftsI,L42023, DB00537
ftsI,L42023, DB00685
ftsI,L42023, DB00827
ftsI,L42023, DB00978
ftsI,L42023, DB01059
ftsI,L42023, DB01137
ftsI,L42023, DB01155
ftsI,L42023, DB01165
ftsI,L42023, DB01208
ftsI,L42023, DB01405
ftsI,L42023, DB04576
ftsI,L42023, DB06771
ftsI,L42023, DB09047
ftsI,L42023, DB12924
ftsI,L42023,DB01321
mrdA,L42023,DB00303
mrdA,L42023, DB00671
mrdA,L42023,DB00218
mrdA,L42023, DB00365
mrdA,L42023, DB00467
mrdA,L42023, DB00487
mrdA,L42023, DB00537
mrdA,L42023, DB00685
mrdA,L42023, DB00827
mrdA,L42023, DB00978
mrdA,L42023, DB01059
mrdA,L42023, DB01137
mrdA,L42023, DB01155
mrdA,L42023, DB01165
mrdA,L42023, DB01208
mrdA,L42023, DB01405
mrdA,L42023, DB04576
mrdA,L42023, DB06771
mrdA,L42023, DB09047
mrdA,L42023, DB12924
mrdA,L42023,DB01321
gyrA,L42023,DB00303
gyrA,L42023, DB00671
gyrA,L42023,DB00218
gyrA,L42023, DB00365
gyrA,L42023, DB00467
gyrA,L42023, DB00487
gyrA,L42023, DB00537
gyrA,L42023, DB00685
gyrA,L42023, DB00827
gyrA,L42023, DB00978
gyrA,L42023, DB01059
gyrA,L42023, DB01137
gyrA,L42023, DB01155
gyrA,L42023, DB01165
gyrA,L42023, DB01208
gyrA,L42023, DB01405
gyrA,L42023, DB04576
gyrA,L42023, DB06771
gyrA,L42023, DB09047
gyrA,L42023, DB12924
gyrA,L42023,DB01321
parC,L42023,DB00303
parC,L42023, DB00671
parC,L42023,DB00218
parC,L42023, DB00365
parC,L42023, DB00467
parC,L42023, DB00487
parC,L42023, DB00537
parC,L42023, DB00685
parC,L42023, DB00827
parC,L42023, DB00978
parC,L42023, DB01059
parC,L42023, DB01137
parC,L42023, DB01155
parC,L42023, DB01165
parC,L42023, DB01208
parC,L42023, DB01405
parC,L42023, DB04576
parC,L42023, DB06771
parC,L42023, DB09047
parC,L42023, DB12924
parC,L42023,DB01321
